Feature,Capability,Feature Group,Tags,Category,Product,Problem,Solution,Key Features,Value,Vimeo URL
Digital Payments,Payments,Payment Initiation,"payments, ACH, wires, international wires, instant transfers, payment initiation, scheduling, recipients",SMB,Digital Banking,"Managing multiple payment types across separate workflows creates friction, slows execution, and increases user error.","Digital payments tools for initiating and managing ACH, wires, and instant transfers from one streamlined experience.","Dynamic form by payment type; ACH, domestic wire, international wire, and instant transfer support; Account, recipient, amount, and scheduling controls; Visibility into required details like SEC code and timing","Simplifies payment execution, reduces navigation, and improves speed, control, and accuracy.",https://vimeo.com/1181093431/0979618261?share=copy&fl=sv&fe=ci
"ACH File Upload, Recurring Transfers, Bulk ACH",Payments,ACH Operations,"ACH, file upload, recurring transfers, bulk ACH, batch payments, templates, scheduled payments",SMB,Digital Banking,"Handling high-volume and recurring payments manually can be time-consuming, inconsistent, and difficult to scale.","Advanced ACH tools for uploading batches, managing recurring activity, and creating reusable bulk payment templates.",ACH file upload with review and submission; Centralized recurring transfer management; Reusable bulk ACH templates; Multi-recipient setup with schedule and frequency controls,"Streamlines batch and recurring payments, reduces manual effort, and improves operational efficiency.",https://vimeo.com/1181092888/4fcaf5b993?fl=ml&fe=ec
Recipient Management,Payments,Recipient Management,"recipients, external accounts, Plaid, account linking, ACH, wires, international transfers",SMB,Digital Banking,"Managing external accounts across disconnected workflows can create complexity, delays, and setup errors.","A centralized recipient management experience for creating, updating, and using payment recipients with ease.","Centralized view of all external accounts; Plaid, internal, and manual account linking options; Dynamic fields based on payment and recipient type; Support for ACH, wire, and international transfer setup","Reduces setup friction, improves accuracy, and gives users greater control over recipient management.",https://vimeo.com/1181094235/cf3b509665?fl=ml&fe=ec
Positive Pay Exceptions,Payments,Positive Pay,"positive pay, exceptions, check exceptions, ACH exceptions, returns, fraud controls, cutoff time",SMB,Digital Banking,Manually reviewing payment exceptions can slow decision-making and increase risk across check and ACH activity.,"A clear exception management experience for reviewing, actioning, and tracking Positive Pay items.","Check and ACH exception review; Return or pay decisioning workflows; Status tracking across Paid, Returned, and Closed; Visible cutoff times for pending actions","Improves exception handling, reduces risk, and gives users clear visibility into outcomes.",https://vimeo.com/1181093974/bfed3a03e0?fl=ml&fe=ec
Positive Pay Check Issue,Payments,Positive Pay,"positive pay, issued checks, check issue, check upload, void checks, duplicate detection",SMB,Digital Banking,"Managing issued checks manually can create inefficiencies, increase errors, and limit visibility into status.","A streamlined issued check workflow for viewing, adding, editing, voiding, and uploading checks.",Issued check list with status visibility; Manual check entry with default issued date; Edit and void actions from one screen; Bulk upload for multiple issued checks,"Simplifies check management, reduces duplicate risk, and improves control over issued items.",https://vimeo.com/1181093846/80b07043fe?fl=ml&fe=ec
Positive Pay ACH Rules,Payments,Positive Pay,"positive pay, ACH rules, allow rules, block rules, debits, credits, SEC code, originator ID",SMB,Digital Banking,"Without automated ACH controls, organizations face greater exposure to unauthorized or high-risk transactions.",Flexible ACH rules that automatically allow or block transactions based on defined conditions.,"Allow or block rule creation; Debit, credit, or combined rule options; Account-level rule assignment; Conditions for originator, SEC code, and amount","Strengthens ACH protection, automates controls, and reduces exposure to unauthorized activity.",https://vimeo.com/1181093587/bf12eccd5f?fl=ml&fe=ec
Invoicing,Business Services,Invoicing,"invoicing, quotes, clients, line items, payments, aging report, branding",SMB,Digital Banking,Creating and managing invoices manually can slow billing cycles and limit visibility into receivables.,"An intuitive invoicing experience for creating, sending, tracking, and customizing invoices and quotes.","Invoice and quote creation with line items; Client management and payment method options; Draft, send, filter, and search capabilities; Custom branding, reminders, and invoice settings","Accelerates billing, improves cash flow visibility, and supports a more professional client experience.",https://vimeo.com/1181093250/69c7e6fa82?fl=ml&fe=ec
Expenses,Business Services,Expenses,"expenses, money out, categorization, vendors, tax designation, rules, bank integrations",SMB,Digital Banking,"Tracking and categorizing business expenses manually can be inefficient, inconsistent, and hard to maintain.","A centralized expense management experience for reviewing, organizing, and automating spending activity.","Expense overview with trends and insights; Transaction editing and category management; Filters, search, and manual expense entry; Bank linking, rules, vendors, and reporting tools","Improves expense visibility, reduces manual work, and supports more accurate financial tracking.",https://vimeo.com/1181093023/b2296e87d0?fl=ml&fe=ec
Reporting,Business Services,Reporting,"reporting, balance sheet, cash flow, profit and loss, expense reporting, exports",SMB,Digital Banking,Limited access to business reporting can make it harder to monitor performance and support decisions.,"A robust reporting experience with built-in financial, operational, and tax reports across key categories.","Reports across accounting, expenses, income, and taxes; Access to balance sheet, cash flow, and P&L; Detailed views by category, vendor, and client; Spreadsheet export for sharing and analysis",Provides deeper insight into business performance and supports more informed financial decisions.,https://vimeo.com/1181094343/6f22b236a7?fl=ml&fe=ec
Income,Business Services,Income,"income, money in, revenue tracking, transaction imports, clients, receipts",SMB,Digital Banking,Managing incoming funds across fragmented workflows can reduce visibility and create unnecessary manual work.,"A centralized income experience for tracking, importing, and organizing revenue activity.","Income overview with monthly trends; Search, filters, and adjustable transaction views; Manual entry with notes and receipt attachments; External account linking and income rules","Improves revenue visibility, streamlines tracking, and keeps incoming funds organized.",https://vimeo.com/1181093143/6ac544b260?fl=ml&fe=ec
Taxes,Business Services,Taxes,"taxes, annual taxes, quarterly taxes, Schedule C, tax payments, federal taxes, state taxes",SMB,Digital Banking,"Tracking tax obligations manually can create confusion, reduce visibility, and increase the risk of missed deadlines.","A simplified tax management experience for viewing balances, due dates, and payment activity in one place.","Annual and quarterly tax views; Federal and state tax summaries; Breakdowns for owed, paid, and remaining amounts; Access to Schedule C, downloads, and tax payments","Helps users stay organized, monitor obligations, and manage taxes with greater confidence.",https://vimeo.com/1181094412/066d8e383a?fl=ml&fe=ec
Transaction Folders,Financial Organization,Transaction Organization,"transaction folders, categorization, financial organization, spending visibility, folder totals, reporting",SMB,Digital Banking,"Without a clear way to group transactions, tracking spending across categories can become difficult and time-consuming.",Custom transaction folders that organize activity into meaningful categories for better visibility and control.,Active folder view with transaction totals; Custom folder creation by user need; Transaction assignment for better organization; Recent activity visibility alongside folder balances,"Improves transaction organization, supports reporting, and makes spending easier to track.",https://vimeo.com/1181094448/5d4bdce594?fl=ml&fe=ec
User Management,Admin & Access,User Administration,"user management, users, roles, permissions, approvals, onboarding, access controls",SMB,Digital Banking,"Onboarding users without role-based setup can create inconsistency, administrative burden, and access risk.",A structured user management workflow that ties role creation directly to user setup.,Custom role creation with permissions and approvals; Account access defined at the role level; User setup with core profile details; Role assignment during onboarding,"Speeds onboarding, standardizes access, and ensures users get the right permissions from day one.",https://vimeo.com/1181094538/7e1f685b4e?fl=ml&fe=ec
Profile Selector,Admin & Access,Profile Management,"profile selector, personal profile, business profile, multi-profile, permissions, profile switching",SMB,Digital Banking,Managing personal and business relationships separately can create friction and complicate the user experience.,A profile selector that lets users switch between personal and business profiles from a single login.,Single login across multiple profiles; Easy switching from the profile dropdown; Business-level separation by permissions and setup; Personal and business data kept fully distinct,Creates a more seamless experience while preserving security and profile-level separation.,https://vimeo.com/1181094166/36a4a512ef?fl=ml&fe=ec
